Species,Coral ID,Treatment,Initial_01May,Final_01May,Initial_15May,Final_15May,Initial_29May,Final_29May,Initial_12June
Montipora capitata,99,ambient,6.136,6.136,6.175,6.175,6.309,6.309,6.404
Montipora capitata,100,ambient,7.027,7.027,7.123,7.123,7.255,7.255,7.354
Montipora capitata,101,ambient,7.284,7.284,7.404,7.404,7.64,7.64,7.832
Montipora capitata,102,ambient,13.496,13.496,13.738,13.738,14.053,14.053,14.303
Montipora capitata,104,high,11.166,11.166,11.231,11.231,11.327,11.327,11.514
Montipora capitata,105,high,10.272,10.272,10.35,10.35,10.523,10.523,10.704
Montipora capitata,106,ambient,8.473,8.473,8.601,8.601,8.8,8.8,8.953
Montipora capitata,107,ambient,10.105,10.105,10.242,10.242,10.431,10.431,10.592
Montipora capitata,108,high,16.987,16.987,17.076,17.076,16.856,16.856,17.249
Montipora capitata,109,high,7.729,7.729,7.911,7.911,8.131,8.131,8.344
Montipora capitata,110,ambient,8.094,8.094,8.208,8.208,8.386,8.386,8.525
Montipora capitata,111,high,6.01,6.01,6.008,6.008,6.082,6.082,6.107
Montipora capitata,114,ambient,6.597,6.597,6.736,6.736,6.933,6.933,7.106
Montipora capitata,115,high,5.058,5.058,5.127,5.127,5.261,5.261,5.389
Montipora capitata,117,ambient,12.265,12.265,12.095,12.095,12.258,12.258,12.657
Montipora capitata,118,high,8.847,8.847,8.952,8.952,9.131,9.131,9.284
Montipora capitata,119,high,8.152,8.152,8.226,8.226,8.411,8.411,8.682
Montipora capitata,120,ambient,12.527,12.527,12.604,12.604,12.959,12.959,13.135
Pocillopora damicornis,121,high,7.41,7.41,7.467,7.467,7.51,7.51,7.549
Pocillopora damicornis,122,high,8.928,8.928,9.021,9.021,9.093,9.093,9.21
Pocillopora damicornis,123,ambient,12.528,12.528,12.786,12.786,13.107,13.107,13.494
Pocillopora damicornis,124,high,11.329,11.329,11.509,11.509,11.688,11.688,11.844
Pocillopora damicornis,125,high,7.48,7.48,7.512,7.512,7.627,7.627,7.618
Pocillopora damicornis,127,ambient,12.133,12.133,12.28,12.28,12.497,12.497,12.696
Pocillopora damicornis,128,ambient,6.359,6.359,6.407,6.407,6.455,6.455,6.495
Pocillopora damicornis,129,high,8.487,8.487,8.556,8.556,8.68,8.68,8.763
Pocillopora damicornis,130,high,6.511,6.511,6.55,6.55,6.58,6.58,6.617
Pocillopora damicornis,131,high,10.781,10.781,10.853,10.853,11.027,11.027,11.141
Pocillopora damicornis,132,ambient,6.123,6.123,6.192,6.192,6.234,6.234,6.295
Pocillopora damicornis,133,ambient,10.39,10.39,10.516,10.516,10.699,10.699,10.882
Pocillopora damicornis,134,high,8.033,8.033,8.082,8.082,8.136,8.136,8.176
Pocillopora damicornis,135,high,10.57,10.57,10.666,10.666,10.835,10.835,10.98
Pocillopora damicornis,136,high,9.074,9.074,9.161,9.161,9.278,9.278,9.401
Pocillopora damicornis,137,high,7.542,7.542,7.587,7.587,7.614,7.614,7.654
Pocillopora damicornis,138,ambient,10.196,10.196,10.369,10.369,10.627,10.627,10.843
Pocillopora damicornis,140,high,10.055,10.055,10.295,10.295,10.341,10.341,10.417
Pocillopora damicornis,141,high,8.295,8.295,8.346,8.346,8.432,8.432,8.545
Pocillopora damicornis,144,ambient,6.309,6.309,6.344,6.344,6.465,6.465,6.58
Pocillopora damicornis,145,high,9.367,9.367,9.423,9.423,9.54,9.54,9.645
Pocillopora damicornis,146,ambient,10.914,10.914,11.089,11.089,11.335,11.335,11.543
Pocillopora damicornis,147,high,7.882,7.882,7.919,7.919,7.993,7.993,8.077
Pocillopora damicornis,148,high,6.796,6.796,6.803,6.803,6.856,6.856,6.917
Pocillopora damicornis,149,high,9.271,9.271,9.339,9.339,9.449,9.449,9.559
Pocillopora damicornis,150,ambient,13.594,13.594,13.76,13.76,13.969,13.969,14.211
Pocillopora damicornis,151,high,9.469,9.469,9.538,9.538,9.578,9.578,9.653
Pocillopora damicornis,152,ambient,7.604,7.604,7.664,7.664,7.753,7.753,7.818
Pocillopora damicornis,153,high,6.41,6.41,6.426,6.426,6.496,6.496,6.561
Pocillopora damicornis,154,ambient,8.064,8.064,8.166,8.166,8.272,8.272,8.371
Pocillopora damicornis,155,high,11.242,11.242,11.342,11.342,11.425,11.425,11.62
Pocillopora damicornis,157,ambient,6.649,6.649,6.711,6.711,6.8,6.8,6.884
Pocillopora damicornis,158,ambient,8.9,8.9,8.938,8.938,9.049,9.049,9.064
Pocillopora damicornis,159,ambient,8.522,8.522,8.608,8.608,8.706,8.706,8.798
Pocillopora damicornis,160,ambient,13.33,13.33,13.387,13.387,13.381,13.381,13.495
Pocillopora damicornis,161,ambient,7.445,7.445,7.51,7.51,7.63,7.63,7.738
Pocillopora damicornis,162,high,9.422,9.422,9.477,9.477,9.616,9.616,9.7
Pocillopora damicornis,163,ambient,8.114,8.114,8.185,8.185,8.292,8.292,8.404
Pocillopora damicornis,164,ambient,6.624,6.624,6.653,6.653,6.763,6.763,6.832
Pocillopora damicornis,165,ambient,10.011,10.011,10.282,10.282,10.461,10.461,10.638
Pocillopora damicornis,166,ambient,9.838,9.838,10.125,10.125,10.295,10.295,10.499
Pocillopora damicornis,168,high,9.464,9.464,9.545,9.545,9.652,9.652,9.663
Pocillopora damicornis,171,high,10.733,10.733,10.853,10.853,11.033,11.033,11.226
Pocillopora damicornis,172,ambient,6.099,6.099,6.106,6.106,6.241,6.241,6.321
Pocillopora damicornis,173,ambient,6.254,6.254,6.285,6.285,6.346,6.346,6.386
Pocillopora damicornis,174,ambient,8.435,8.435,8.534,8.534,8.66,8.66,8.799
Pocillopora damicornis,175,ambient,8.572,8.572,8.548,8.548,8.72,8.72,8.954
Pocillopora damicornis,176,high,9.762,9.762,9.806,9.806,9.86,9.86,9.916
Pocillopora damicornis,178,high,9.097,9.097,9.207,9.207,9.335,9.335,9.453
Pocillopora damicornis,180,ambient,7.109,7.109,7.146,7.146,7.217,7.217,7.283
