,Metabolite.Bin,OPLS-DA Loading,Percent.Change,ChenomxID,Functional group,Count,,,count,%
51,X3.33989,0.019098047,-517.9334703,Methanol,alcohol,1,,,,
52,X3.41988,0.006387209,158.7269729,"Proline, Glucose","amino acid, monosaccharide",1,,,,
53,X3.49986,0.009496155,754.9729803,"5,6-Dihydrouracil",intermediate breakdown product of uracil,1,,,,
54,X3.53985,0.006260355,-836.2539545,Glycine,amino acid,1,,,,
55,X3.65982,-0.021441291,-166.2285405,Unk,Unk,1,,,,
56,X3.7798,-0.004044245,-78.67178952,Glycerol,triglyceride fatty acid backbone,1,,,,
57,X3.81979,-0.006927697,-155.6093821,Glutamate,amino acid,1,,,,
58,X3.89977,0.01926743,-716.2351603,Betaine,amino acid,1,,,,
59,X3.93976,0.023188132,78.88841017,Unk,Unk,1,,,,
60,X3.97976,0.010142246,-441.7349954,Unk,Unk,1,,,,
61,X4.01975,-0.025336897,-190.376737,Unk,Unk,1,,,,
62,X4.05974,-0.022794745,-192.9764875,Unk,Unk,1,,,,
63,X4.09973,-0.004853697,-201.5465849,Unk,Unk,1,,,,
64,X4.13972,-0.004909373,-155.667214,Unk,Unk,1,,,,
65,X4.17971,0.004103539,324.0315982,Unk,Unk,1,,,,
66,X4.2597,-0.001678408,-202.5641026,Unk,Unk,1,,,,
67,X4.29969,-0.005681112,-185.4122266,Unk,Unk,1,,,,
68,X4.33968,-0.014091874,-171.7667325,Unk,Unk,1,,,,
69,X4.37967,-0.001777279,-46.37008569,Unk,Unk,1,,,,
70,X4.41966,0.001724796,-200.7795223,Unk,Unk,1,,,,
71,X4.45965,-0.009018595,-188.4267585,Unk,Unk,1,,,,
72,X4.49964,-0.005519237,-203.633982,Unk,Unk,1,,,,
73,X4.53964,0.001175888,269.1055526,Unk,Unk,1,,,,
74,X4.97954,-0.002001108,-138.5313227,Unk,Unk,1,,,,
75,X5.01953,-0.008940584,-189.8393229,Unk,Unk,1,,,,
76,X5.05952,-0.008254895,-199.745009,Unk,Unk,1,,,,
77,X5.09952,-0.011877345,-186.7902457,Unk,Unk,1,,,,
78,X5.21949,0.000372734,322.1938167,Unk,Unk,1,,,,
79,X5.29947,0.001257691,-369.3736957,Unk,Unk,1,,,,
80,X5.33946,0.001520464,161.3914209,Unk,Unk,1,,,,
81,X5.37946,-0.004322074,-205.4577693,Unk,Unk,1,,,,
82,X5.49943,0.002008822,474.9768665,Unk,Unk,1,,,,
83,X5.6194,-0.001296053,-138.1953626,Unk,Unk,1,,,,
84,X5.6594,-0.00467065,-184.1756719,Unk,Unk,1,,,,
85,X5.69939,-0.004244194,-169.6129355,Unk,Unk,1,,,,
86,X5.81936,0.000723732,-6615.279341,Unk,Unk,1,,,,
87,X5.85935,0.000832303,-599.9460872,Unk,Unk,1,,,,
88,X5.89934,-0.001739333,-86.7194708,Unk,Unk,1,,,,
89,X5.93934,-0.009101983,-187.1521178,Unk,Unk,1,,,,
90,X5.97933,-0.00468307,-180.349224,Unk,Unk,1,,,,
91,X6.05931,-0.003838219,-190.8363711,Unk,Unk,1,,,,
92,X6.13929,-0.00306297,-208.1643809,Unk,Unk,1,,,,
93,X6.25927,0.000505194,397.1151901,Unk,Unk,1,,,,
94,X6.49922,0.000730065,-2125.337618,Unk,Unk,1,,,,
95,X6.53921,0.000828159,1950.617506,Unk,Unk,1,,,,
96,X6.61919,-0.000808231,-104.1882021,Unk,Unk,1,,,,
97,X6.69917,0.001138282,-286.2373766,Unk,Unk,1,,,,
98,X6.85914,0.001085421,441.064267,Unk,Unk,1,,,,
99,X6.89913,0.001225762,-749.9279858,Unk,Unk,1,,,,
100,X7.09909,0.000679994,1056.193416,Unk,Unk,1,,,,
101,X7.17907,0.001301142,2065.908655,Unk,Unk,1,,,,
102,X7.29904,0.000977723,-216.3327655,Unk,Unk,1,,,,
103,X7.37903,0.001292718,-378.2179236,Unk,Unk,1,,,,
104,X7.499,0.000890083,754.1801675,Unk,Unk,1,,,,
105,X7.53899,0.000843636,-472.649312,Unk,Unk,1,,,,
106,X7.89892,0.000479219,93.96500389,Unk,Unk,1,,,,
107,X8.01889,0.001061305,-154.1452413,Unk,Unk,1,,,,
108,X8.13886,0.00048872,1351.261675,Unk,Unk,1,,,,
109,X8.17886,0.000614025,1672.45966,Unk,Unk,1,,,,
110,X8.25884,0.000453263,-293.6647271,Unk,Unk,1,,,,
111,X8.29883,0.001358611,1636.052866,Unk,Unk,1,,,,
112,X8.4588,0.005446754,252.1770159,Formate,carboxylic acid,1,,,,
113,X8.53878,0.0009905,-2088.363098,Formate,carboxylic acid,1,,,,
114,X8.65875,0.001475614,268.9884293,Unk,Unk,1,,,,
115,X8.81872,0.00047175,118.9627165,Unk,Unk,1,,,,
116,X8.85871,-0.001589764,-142.369877,Unk,Unk,1,,,,
117,X8.8987,0.001265527,-338.295441,Unk,Unk,1,,,,
118,X8.93869,0.000883413,-261.0580683,Unk,Unk,1,,,,
119,X9.01868,0.000489833,406.3138927,Unk,Unk,1,,,,
120,X9.05867,0.000682124,-1184.468112,Unk,Unk,1,,,,
121,X9.09866,0.000882638,-1119.729323,Unk,Unk,1,,,,
122,X9.25862,-0.00062784,-62.33590488,Unk,Unk,1,,,,
123,X9.29862,0.000329535,138.0799098,Unk,Unk,1,,,,
124,X9.3786,0.000418106,140.6279707,Unk,Unk,1,,,,
125,X9.49857,0.000423205,52.49539555,Unk,Unk,1,,,,
126,X9.53856,0.000640865,1086.256265,Unk,Unk,1,,,,
127,X9.57856,0.000679441,1624.970676,Unk,Unk,1,,,,
128,X9.61855,0.000767103,121.6682015,Unk,Unk,1,,,,
129,X9.97847,0.000935361,1136.549234,Unk,Unk,1,,,,
